PAA,SAX,MCB
0.0028699546968000197,c,c
0.002993479845766611,a,a
0.0028515221211333815,a,a
0.003017853057700079,a,c
0.0029357607408667333,a,b
0.0029761762234666966,a,b
0.002943451257166661,b,a
0.0030228070980333355,b,b
0.003055165923133328,b,b
0.0031585187208666766,b,c
-0.00249002128020003,a,c
-0.00231061835343342,c,a
-0.0023229369878334225,a,c
-0.002382100835800053,b,c
-0.0023189292448667015,c,c
-0.002383585684666768,a,b
-0.002296142298000196,a,c
-0.002319844368133441,a,c
-0.0023483783734668,a,a
-0.0023518267262335442,a,b
-0.0023015235379668098,b,a
-0.002315073506200095,b,a
-0.0023053078194334837,b,c
-0.002319701895900133,b,a
-0.0023152362753667307,a,b
-0.0025137736417334155,c,b
-0.0026224975533334924,a,b
-0.0025519713005668536,b,c
-0.0025448911916334605,c,a
-0.0025293476716334753,a,c
-0.0024834696187668046,a,a
-0.0024706521330668347,a,a
-0.0024821166052668153,a,b
-0.0024818520623668705,a,b
-0.0025113322724334957,b,b
-0.002530761643633552,b,b
-0.0025075986707002356,b,a
-0.002433634185233561,b,c
-0.0024674375158335714,a,a
-0.002606323081866931,c,a
0.0007130534486333269,a,c
0.0009023233368666774,b,c
0.0008869831487000147,c,c
0.0009589333946333563,a,a
0.0007456663403666821,a,c
0.0009851479453666925,a,b
0.0009659523454000278,a,b
0.0009529010927666837,a,a
0.0009366351519333532,b,a
0.0008865762102333471,b,a
0.0008432921276666768,b,a
0.0009005431028333505,b,a
0.0009812722420333576,a,a
0.0007893879024333429,c,b
0.0008078815835000122,a,c
0.0031114404356333784,b,c
0.003379364165099943,c,c
0.00325763961926671,a,a
0.0031838379600000128,a,b
0.0031787923575000193,a,a
0.0032436524256666465,a,b
0.0032173767856333376,a,b
0.0032249349459666987,b,c
0.003224049924166623,b,c
0.003181925489933326,b,a
0.0032359721547666454,b,a
0.0032728984368666494,a,c
0.0032507019919666854,c,a
0.0034089966738333776,a,a
0.0033560893150667306,b,a
0.003228088431033343,c,a
0.003267008545433355,a,b
0.0031805318551333963,a,b
0.003233683355766691,a,c
0.0032254843505333435,a,b
0.003282643780866573,a,b
0.0032681072231999586,b,b
0.0032542827520332827,b,b
0.0032496440889999514,b,c
0.003266479615166618,b,a
0.00328850314886667,a,a
0.0032956747668666003,c,b
0.0032273051829333414,a,b
0.00318655407556667,b,b
0.003217061518833328,c,c
0.0032017111427667003,a,c
0.0033376058893333635,a,a
0.0031260071485333697,a,a
0.003450856567300001,a,c
0.00342956553913338,a,a
0.003257884229633315,b,a
0.0036085204502666816,b,c
0.0036944479492666683,b,a
0.0033562522286666365,b,b
0.0031738588935999843,a,b
0.0035041503884667403,c,b
0.0033301799784999937,a,b
0.003341369773733334,b,b
0.0034180400513999743,c,b
0.0035675352783999604,a,a
0.003248464129866699,a,a
-0.0027941488586334475,a,c
-0.0027313029533334305,a,a
-0.0027614033017001713,a,a
-0.002732889739600133,b,c
-0.002724985775100089,b,c
-0.002721404910366847,b,c
-0.0027120258208335113,b,b
-0.002712554856733544,a,b
-0.0027935587038001365,c,a
-0.0028553059809001916,a,c
-0.002812225327066896,b,b
-0.002837381994833528,c,a
-0.002875152612066802,a,c
-0.002822540287866949,a,a
-0.0028039957578668835,a,b
-0.0014875793073667106,a,a
-0.0015246377820000376,a,a
-0.0015820006036000463,b,a
-0.0016032611854667033,b,b
-0.0015813292148000437,b,c
-0.0015767311933666801,b,b
-0.0015213926476333735,a,c
-0.0016436562409000224,c,a
-0.0015858864411000394,a,a
-0.0015649412072666887,b,b
-0.001576385304333349,c,c
-0.0015653277831667073,a,b
-0.0015428668542333576,a,b
-0.0015719907538667068,a,b
-0.001553924386866695,a,c
-0.0025948284107668116,a,b
-0.0026355895348668524,b,a
-0.0025209145606002363,b,b
-0.0024895322697335315,b,a
-0.0025751544653002173,b,b
-0.0025586241184335774,a,c
-0.0025414834187669016,c,c
-0.0025406797351002542,a,c
-0.0025943805355335705,b,a
-0.002592386715966897,c,b
-0.0026034340818002423,a,a
